experiment,model,model_type,language,timestamp,index,ground_truth,prediction,correct,word_count,error
1,claude,online,arabic,20260403_113449,1,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,2,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,3,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,4,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,5,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,6,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,7,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,8,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,9,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,10,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,11,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,12,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,13,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,14,not depressed,depressed,False,0,
1,claude,online,arabic,20260403_113449,15,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,16,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,17,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,18,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,19,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,20,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,21,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,22,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,23,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,24,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,25,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,26,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,27,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,28,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,29,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,30,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,31,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,32,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,33,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,34,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,35,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,36,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,37,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,38,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,39,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,40,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,41,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,42,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,43,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,44,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,45,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,46,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,47,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,48,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,49,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,50,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,51,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,52,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,53,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,54,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,55,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,56,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,57,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,58,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,59,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,60,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,61,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,62,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,63,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,64,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,65,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,66,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,67,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,68,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,69,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,70,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,71,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,72,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,73,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,74,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,75,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,76,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,77,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,78,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,79,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,80,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,81,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,82,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,83,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,84,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,85,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,86,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,87,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,88,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,89,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,90,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,91,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,92,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,93,not depressed,depressed,False,0,
1,claude,online,arabic,20260403_113449,94,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,95,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,96,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,97,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,98,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,99,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,100,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,101,depressed,not depressed,False,0,
1,claude,online,arabic,20260403_113449,102,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,103,not depressed,not depressed,True,0,
1,claude,online,arabic,20260403_113449,104,depressed,depressed,True,0,
1,claude,online,arabic,20260403_113449,105,depressed,depressed,True,0,
